accession,SMILES
BGC0002246,C=C1C(=O)C(OC(C)=O)C=C(C)C(O)C(O)C2C1CC2(C)C
BGC0002250,C=C1C(=O)C2(C(=O)N1OC)C(=CCC)C=CC(=O)C2O
BGC0000914,C=C1C(=O)C2(C)OC2(C)C1C(=O)O
BGC0001451,C=C1C(=O)NC(C)C(=O)N(C)C(C)C(=O)NC(C(OC(=O)C(NC(=O)CC)C(O)C(C)C)C(C)C)C(=O)N(C)C(C(C)OC)C(=O)OC(C(C)C)C(NC(C)=O)C(=O)OC(Cc2ccccc2)C(=O)N1C
BGC0001015,C=C1C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C(=O)O)C(C)C(=O)NC(CCCN=C(N)N)C(=O)NC(C=CC(C)=CC(C)C(Cc2ccccc2)OC)C(C)C(=O)NC(C(=O)O)CCC(=O)N1C
BGC0001996,C=C1C(=O)OC(CCCC)CC1C(=O)O
BGC0002262,C=C1C(=O)OC2C(CCCCCC)OC(=O)C12
BGC0001361,C=C1C(C)C2(C)C(C)=C(C)C(C)(C1C)C2C
BGC0001881,C=C1C(C)C2C(Cc3ccc(OC)cc3)NC(=O)C23C(OC(C)=O)C=CC(C)(O)CC(C)CC=CC3C1O
BGC0001563,C=C1C2=C(C(=O)N1OC)C(O)C(O)C(C=CC=CC)O2
BGC0002612,C=C1C2C(=O)C3(C)CC4C(=O)OCC14C1(CCC4C(C)(C)OC(=O)C=CC4(C)C21)C3
BGC0000065,C=C1C=C(C)C(CC)OC(=O)C(C)C(=O)C(O)(CO)CC(OC)=CC(C)C1
BGC0001329,C=C1C=CC(=O)N(C)CC(=O)NC(C(O)C(N)=O)C(=O)OC(C(C)CCCCCC)C(C)C(=O)N1
BGC0001327,C=C1C=CC(=O)N(C)CC(=O)NC(C(O)C(N)=O)C(=O)OC(C(C)CCCCCCCCCCCC(C)C)C(C)C(=O)N1
BGC0001331,C=C1C=CC(=O)N(C)CC(=O)OC(CCCCCCCCCCC(C)C)C(C)C(=O)C(C)(O)C(=O)NCC(=O)N1
BGC0001332,C=C1C=CC(=O)NC(C)C(=O)NC(C(C)C)C(=O)OC(C(C)CCC)C(CCO)C(=O)N1
BGC0001611,C=C1C=CC(C)=Cc2csc(n2)C2(CC2)NC(=O)CC(CC(=O)O)(SSC)CCC(C)=CC1
BGC0002068,C=C1CC(OC)(C(O)C(=O)NC(OC)C2CC(O)C(C)(C)C(CC(CO)OC)O2)OC(C)C1C
BGC0001109,C=C1CC(OC)(C(O)C(=O)NC(OC)C2CC(O)C(C)(C)C(CC(COC)OC)O2)OC(C)C1C
BGC0001105,C=C1CC(OC)(C(O)C(=O)NC2OCOC3C2OC(CC(O)CCCC=CC=CC=CC(=O)NC(CCCN=C(N)N)C(=O)O)C(C)(C)C3OC)OC(C)C1C
BGC0002055,C=C1CC(OC)(C(O)C(=O)NC2OCOC3C2OC(CC(O)CO)C(C)(C)C3OC)OC(C)C1C
BGC0001071,C=C1CC(OC)(C(O)C(=O)NC=CC(CO)C(O)C(C)C(=O)N2CCCC2C(O)CC(N)=O)OC(C)C1C
BGC0000682,C=C1CC2(O)C3(C)CCC(=O)C(C)(C)C3=C(O)C(=O)C2(C)C2C(=O)OC(C)(C(=O)OC)C(=O)C12C
BGC0001156,C=C1CC23C=CC(=O)C(C)(CCC(=O)Nc4c(O)ccc(C(=O)O)c4O)C2CC1CC3
BGC0001605,C=C1CC23CC1(O)CCC2C12C=CC(O)C(C)(C(=O)O1)C2C3C(=O)O
BGC0002604,C=C1CCC(OC(C)=O)C(C)(C)C1CCC(C)=CCCC(C)=CCc1c(O)cc(C)oc1=O
BGC0002615,C=C1CCC2C(C)(C)CCCC2(C)C1CC12OC1C(=O)C(CO)=CC2=O
BGC0000688,C=C1CCC2C(C)(C)CCCC2(C)C1CCC(C)=CCOP(=O)(O)OP(=O)(O)O
BGC0002429,C=C1CCC2C(C)(CCC=C(C)C)C(O)CCC2(C)C1Cc1c(O)c(C)c(C)oc1=O
BGC0002614,C=C1CCC2C3(C)CC(C=C(C)C)OC3CCC2(C)C1Cc1c(O)c(C)c(C)oc1=O
BGC0001617,C=C1CCC2CC3CC(C)(C)CC3C12C
BGC0001468,C=C1CCOC2(C(O)C(C)(O)CO)NC(=O)C1(O)NC2=O
BGC0002082,C=C1COC(O)(C(OC)C(O)CC2CC(=O)NC(=O)C2)C1C
BGC0002576,C=C1NC(=O)C(C(C)C)NC(=O)C(C(C)CC)NC(=O)c2nc(oc2-c2ccccc2)-c2coc(n2)-c2csc(n2)-c2coc(n2)-c2coc1n2
BGC0000544,C=C1NC(=O)C(C(C)C)NC(=O)C(NC(=O)C(=CC)NC(=O)C(N)C(C)CC)CSCC2NC(=O)C(C(C)O)NC(=O)C3CSCCC(NC(=O)C(CSCC4NC(=O)CNC(=O)C(CSCC5NC(=O)C(Cc6cnc[nH]6)NC(=O)C(CSCC(C(=O)N6CCCC6C(=O)NCC(=O)O)NC5=O)NC4=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)C(CCC(=O)O)NC2=O)NC(=O)C(Cc2c[nH]c4ccccc24)NC1=O)C(=O)N3
BGC0002186,C=C1NC(=O)C(C)C(CCC(C)C(=O)C=CC(C)=CCCC(C)CCCCCC)OC(=O)C(CCC(N)=O)NC(=O)C(C)CNC1=O
BGC0000551,C=C1NC(=O)C(C)NC(=O)C(CCCNC(=N)N)NC(=O)C(NC(=O)CNC(=O)C(N)C(C)O)CSCC(C(=O)NCC(=O)NC(CC(=O)O)C(=O)NC2CSCC(C(=O)NC(CC(N)=O)C(=O)O)NC(=O)C(C(C)O)NC(=O)C(C(C)O)NC(=O)C(C(C)CC)NC(=O)C(=C)NC(=O)C(CC(C)C)NC(=O)C(CO)NC2=O)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC1=O
BGC0001261,C=C1NC(=O)C(CCc2ccc(OC)cc2)NC(=O)C(C(C)C)OC(=O)C(C)NC1=O
BGC0000529,C=C1NC(=O)C(Cc2c[nH]c3ccc(Cl)cc23)NC(=O)C(NC(=O)C(=CC)NC(=O)C(N)C(C)C)CSCC(C(=O)NC2C(=O)N3CCCC3C(=O)NCC(=O)NC(C(=O)NC(C(=O)NC3CSCC4NC(=O)C(CC(N)=O)NC(=O)C(CSCC5NC(=O)C(Cc6ccccc6)NC(=O)C(CSC=CNC5=O)NC4=O)NC(=O)CNC(=O)CNC(=O)CNC(=O)C4C(O)CCN4C3=O)C(C)O)CSC2C)NC(=O)C(CC(C)C)NC1=O
BGC0002130,C=C1NC(=O)C(N(C)C)CSCC(C(=O)NC(CC)C(=O)NC(C(=O)NC(Cc2ccc(OC3OC(C)C(O)C(OC4OC(C)C(O)C(O)C4O)C3O)cc2)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C(=O)NC(C)C(=O)NC(C)C(=O)CNC(C)C(=O)NC(C(=O)NC(C)C(=O)NC(C)C(=O)NC2C(=O)NC(C)C(=O)NC(CO)C(=O)NC(Cc3c[nH]c4ccccc34)C(=O)NCC(=O)NC=CSC2C)C(C)CC)C(C)C)C(C)CC)NC(=O)C2CCCN2C(=O)C(C)NC1=O
BGC0002303,C=C1NC(=O)C(NC(=O)C(C)NC(=O)C(NC(=O)C(C)NC(=O)C(C)NC(=O)C(C)NC(=O)C2CSC(C)C(N(C)C)C(=O)NC(=CC)C(=O)C3CCCC3C(=O)NC(C(C)C)C(=O)N2)C(C)C)CSCC(C(=O)NC(C)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C)C(=O)NC(C(=O)NC(C)C(=O)NCC(=O)NC(C)C(=O)NC2C(=O)NC(Cc3ccc(O)cc3)C(=O)NC(CCC(=O)O)C(=O)NC(C)C(=O)NCC(=O)NC=CSC2C)C(C)CC)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(=CC)NC1=O
BGC0001751,C=C1NC(=O)C2=C1C(C(=O)O)C(C)(C(C)=CC=CC=CC(C)C(O)C(C)C)C1=C2C(C)C(O)CC1
BGC0000603,C=C1NC(=O)C2CSC(=N2)c2csc(n2)-c2ccc3c(n2)C(C)NC(=O)C2CCCN2C(=O)C(=CC)NC(=O)CNC(=O)C(C(C)O)NC(=O)C(C)(NC(=O)C(=CC)NC(=O)C2CSC(=N2)C(CC(N)=O)NC3=O)SCC(C(=O)O)NC(=O)C2CSC(=N2)c2csc(n2)-c2csc1n2
BGC0001145,C=C1NC(=O)C2CSC(=N2)c2csc(n2)-c2ccc3c(n2)C(C)NC(=O)C2CCCN2C(=O)C(=CC)NC(=O)CNC(=O)C(CCCNC(=N)N)NC(=O)C(C)(NC(=O)C(=CC)NC(=O)C2CSC(=N2)C(CC(N)=O)NC3=O)SCC(C(=O)O)NC(=O)C2CSC(=N2)c2csc(n2)-c2csc1n2
BGC0002120,C=C1NC(=O)C2CSCC3NC(=O)C(CSC(C)C(NC(=S)C(Cc4cnc[nH]4)NC(=O)c4csc(C(C)NC(C)=O)n4)C(=O)NC(CC(C)C(=O)NC(=O)CC(C(=O)O)NC(=O)C(C)NC3=O)C(=O)N2)NC(=O)C2CCCN2C(=O)C(CC(C)C)NC1=O
BGC0001146,C=C1NC(=O)CNC(=O)C(CCCCN)NC(=O)C2(C)NC(=O)C(=CC)NC(=O)C3CSC(=N3)C(CC(N)=O)NC(=O)c3ccc(nc3C(C)NC(=O)C3CCCN3C1=O)-c1nc(cs1)C1=NC(CS1)C(=O)NC(=C)c1nc(cs1)-c1nc(cs1)C1=NC(CS1)C(=O)NC(C(=O)O)CS2
BGC0000164,C=C1OC(=O)C(C(=O)C(C)C2C(C)CCCC2C=C(CO)C2OC(C=CCC3CCC(C(C)OC)O3)CCC2C)=C1[O-].[Na+]
BGC0002407,C=C1OC(CO)(n2cnc3c(N)ncnc32)C(O)C1O
BGC0002124,C=C1OC(O)C(C(O)C(OC)C2C(C=C(CO)C3CCC(C)C(C(C)=CCC4OC(C)(C5CCC(C(O)CC)O5)CC4C)O3)CC(C)C(O)C2CO)C1=O
BGC0001397,C=C1Oc2cc(OC)cc(C(=O)OC3COC(=O)CC(N)c4cc(O)c(c(Cl)c4)OC4C#CC=C3C#CC3=CC=CC34OC3OC(C)(C)C(N(C)C)C(O)C3O)c2NC1=O
BGC0001124,C=C1c2oc(C=CC=CCCCCC)c(O)c(=O)c2C(=O)N1C
BGC0000157,C=CC(=CC(=O)CC(C)CC(C)CCC(O)C(C)C(=O)CC(O)C(C)C(C)OC(=O)CC(O)C1=C(C)C(=O)OC1=O)CC
